hebrew_name	english_name	category	symptom	ICD9Code
הפרעה בקואורדינציה	Lack of coordination	נוירולוגיה	TRUE	781.3
אפאזיה	Aphasia	נוירולוגיה	TRUE	784.3
אלקסיה ודיסלקסיה	Alexia and dyslexia	נוירולוגיה	TRUE	784.61
מנינגיסמוס	Meningismus	נוירולוגיה	NULL	781.6
הפרעות טעם וריח	Disturbances of sensation of smell and taste	נוירולוגיה	TRUE	781.1
גמגום	Stuttering	נוירולוגיה	TRUE	307
הפרעה בבלוטת ההיפופיזה	Disorders of the pituitary gland	אנדוקרינולוגיה ומטבולית	NULL	253
תת פעילות בלוטת התריס	Hypothyroidism	אנדוקרינולוגיה ומטבולית	NULL	244.9
יתר פעילות בלוטת התריס	Thyrotoxicosis	אנדוקרינולוגיה ומטבולית	NULL	242
זפק	"Goiter, unspecified"	אנדוקרינולוגיה ומטבולית	TRUE	240.9
דלקת בלוטת התריס	Thyroiditis	אנדוקרינולוגיה ומטבולית	NULL	245
היפרפאראטירואידיזם	Hyperparathyroidism	אנדוקרינולוגיה ומטבולית	NULL	252
היפופאראטירואידיזם	Hypoparathyroidism	אנדוקרינולוגיה ומטבולית	NULL	252.1
סכרת	Diabetes Melitus	אנדוקרינולוגיה ומטבולית	NULL	250
סכרת התלויה באינסולין	Insulin Dependant DM	אנדוקרינולוגיה ומטבולית	NULL	250.01
מחלתקושינג	Cushing's syndrome	אנדוקרינולוגיה ומטבולית	NULL	255
מחלת אדיסון	Addisonn's disease	אנדוקרינולוגיה ומטבולית	NULL	255.4
אוסטאופורוזיס	Osteoporosis	אנדוקרינולוגיה ומטבולית	NULL	V17.81
שגדון	Gout	אנדוקרינולוגיה ומטבולית	NULL	274.9
תת תפקוד האשכים	Other testicular hypofunction	אנדוקרינולוגיה ומטבולית	NULL	257.2
שחלות פוליציסטיות	Polycystic ovaries	אנדוקרינולוגיה ומטבולית	NULL	256.4
התבגרות מיניתמוקדמת	Precocious sexual development and puberty	אנדוקרינולוגיה ומטבולית	NULL	259.1
שיעור יתר	Hirsituism	אנדוקרינולוגיה ומטבולית	TRUE	704.1
אי סדירות מחזור הוסת	Irregular Menstrual Bleeding	אנדוקרינולוגיה ומטבולית	TRUE	626.4
סימפטומים מנופאוזליים	Post menopausal symptoms	אנדוקרינולוגיה ומטבולית	TRUE	627.2
חסר ויטמין B12	Vitamin B12 Deficiency	אנדוקרינולוגיה ומטבולית	NULL	281.1
חסר ויטמין D	Vitamin D deficiency	אנדוקרינולוגיה ומטבולית	NULL	268
חסר חומצה פולית	Folic acid deficiency	אנדוקרינולוגיה ומטבולית	NULL	281.2
חסר G6PD	Glucose-6-phosphatase deficiency	אנדוקרינולוגיה ומטבולית	NULL	271
זיהום ויראלי	Virus infection unspacified	מחלות זיהומיות	NULL	799 / A77
זיהום ויראלי עם פריחה	Viral disease accompanied by exanthem	מחלות זיהומיות	NULL	050-059
פריחה	Rash and other nonspecific skin eruption	מחלות זיהומיות	TRUE	782.1
שפעת	Influenza	מחלות זיהומיות	NULL	487
אדמת	Rubella	מחלות זיהומיות	NULL	56
אבעבועות רוח	Varicella (Chicken Pox)	מחלות זיהומיות	NULL	V01.71 / 052
שלבת חוגרת	Herpes Zoster	מחלות זיהומיות	NULL	53
סקרלטינה	Scarlet Fever	מחלות זיהומיות	NULL	34.1
רוזאולה אינפנטום (המחלה השישית)	Roseola infantum	מחלות זיהומיות	NULL	58.1
חצבת	Measles	מחלות זיהומיות	NULL	V73.2
שעלת	Whooping cough / pertusis	מחלות זיהומיות	NULL	33
זיהום ב-EBV	Infectious Mononucleosis	מחלות זיהומיות	NULL	75
זיהום בציטומגלו וירוס	Cytomegaloviral disease	מחלות זיהומיות	NULL	78.5
פיטיריאזיס רוזאה	Pityriasis Rosea	מחלות זיהומיות	NULL	696.3
זיהום כלמידיה	Other venereal diseases due to Chlamydia trachomatis	מחלות זיהומיות	NULL	99.5
זיהום על ידי ריקציה	Rickettsial Infections	מחלות זיהומיות	NULL	83
דלקת קרום המוח	Meningitis	מחלות זיהומיות	NULL	N71
דלקת רקמת המוח	Encephalitis	מחלות זיהומיות	NULL	N71
דלקת לחמית	Conjunctivitis	מחלות זיהומיות	NULL	372
סינוסיטיס חריפה	"Sinusitis, Acure"	מחלות זיהומיות	NULL	461
זיהום דרכי נשימה עליונות	URI	מחלות זיהומיות	NULL	465
דלקת אוזן חצונית	Otitis Externa	מחלות זיהומיות	NULL	380.1
דלקת אוזן תיכונה	Otitis Media	מחלות זיהומיות	NULL	381
דלקת לוע חריפה	Acute Pharyngitis	מחלות זיהומיות	NULL	462
דלקת שקדיים חריפה	Acute Tonsilitis	מחלות זיהומיות	NULL	465
דלקת ריאות	Pneumonia	מחלות זיהומיות	NULL	R81
דלקת ריאות אטיפית	Atypical pneumonia	מחלות זיהומיות	NULL	483
דלקת מעי זיהומית	Gastroenteritis (septic)	מחלות זיהומיות	NULL	9
דינזטריה / שיגלוזיס	Shigellosis / dysentery	מחלות זיהומיות	NULL	4
הרעלת מזון (חיידקית)	Food poisoning (bacterial)	מחלות זיהומיות	NULL	5
צהבת A	Hepatitis A	מחלות זיהומיות	NULL	70.1
צהבת B	Hepatitis B	מחלות זיהומיות	NULL	70.3
צהבת C	Hepatitis C	מחלות זיהומיות	NULL	70.7
צהבת כרונית	Chronic hepatitis	מחלות זיהומיות	NULL	571.4
זיהום דרכי השתן	Urinary Tract Infection	מחלות זיהומיות	NULL	599
מחלה זיהומית מועברת ביחסי מין	Sexually Transmited Disease	מחלות זיהומיות	NULL	V65.45
מחלת פה ידיים ורגליים	Hand mouth foot syndrome	מחלות זיהומיות	NULL	743
ספור משפחתי של ממאירות	Family history of malignant neoplasm	ממאירות	NULL	V16
שד	Malignant neoplasm of female breast	ממאירות	NULL	174.9
ערמונית	Malignant neoplasm of prostate	ממאירות	NULL	185
מעי גס	Malignant neoplasm of colon	ממאירות	NULL	174
ריאות	"Malignant neoplasm of trachea, bronchus, and lung"	ממאירות	NULL	185
מוח	Malignant neoplasm of brain	ממאירות	NULL	153
ושט	Malignant neoplasm of esophagus	ממאירות	NULL	162
לבלב	Malignant neoplasm of pancreas	ממאירות	NULL	191
רחם	Malignant neoplasm of uterus	ממאירות	NULL	150
כבד	Malignant neoplasm of liver	ממאירות	NULL	157
כליה	Malignant neoplasm of stomach	ממאירות	NULL	179
קיבה	Malignant neoplasm of kidney	ממאירות	NULL	155
אשך	Malignant neoplasm of testis	ממאירות	NULL	189
מלנומה	Malignant melanoma of skin	ממאירות	NULL	151
שחלה	Malignant neoplasm of ovary	ממאירות	NULL	186
אדרנל	Malignant neoplasm of adrenal	ממאירות	NULL	172
שחלות	Malignant neoplasm of ovary	ממאירות	NULL	183
בלוטת התריס	Malignant neoplasm of thyroid gland	ממאירות	NULL	193
שלפוחית השתן	Malignant neoplasm of bladder	ממאירות	NULL	171
ממאירות אחרת	Other neoplasms	ממאירות	NULL	V16.9
מיאלומה נפוצה	Multiple myeloma	ממאירות	NULL	188
גרורות לבלוטות לימפה	Lymph node metastasis	ממאירות	NULL	V76.8
מחלת הודג'קינס	Hodgkin's disease / lymphoma	ממאירות	NULL	201.9
לימפומה שאינה הודג'קינס	Non Hodgkin's lymphoma	ממאירות	NULL	202
גרורות	Secondary malignant neoplasm of other specified sites	ממאירות	NULL	198
גרורות	Metastasis	ממאירות	NULL	198
הפרעה נפשית והתנהגותית	Mental and behavioral problem	פסיכיאטריה	TRUE	V40
אנורקסיה	Anorexia nervosa	פסיכיאטריה	NULL	307.1
בולימיה	Bulimia nervosa	פסיכיאטריה	NULL	307.51
הפרעות ריכוז וקשב	Attention deficit disorder	פסיכיאטריה	NULL	314
ציקלוטימיה	Cyclothymia	פסיכיאטריה	NULL	301.13
דכאון	Depressive disorder	פסיכיאטריה	NULL	311
מחלה ביפולארית	Bipolar disorder	פסיכיאטריה	NULL	296.8
חרדה	Anxiety	פסיכיאטריה	TRUE	300
דכאון וחרדה	Anxiety and depression	פסיכיאטריה	TRUE	300.4
תסמונת חרדה	General anxiety disorder	פסיכיאטריה	NULL	300.02
סכיזופרניה	Schyzophrenia	פסיכיאטריה	NULL	295
הפרעת אישיות	Personality disorder	פסיכיאטריה	NULL	301
נסיון אבדני	Suicidal attempt	פסיכיאטריה	NULL	E950-E959
תסמונת סטרס פוסט טראומה	PTSD	פסיכיאטריה	NULL	309.81
הפרעות שינה	Insomnia / sleep disturbances	פסיכיאטריה	TRUE	780.5
מחלה במשפחה	Problems with family members NEC	פסיכו-סוציו	TRUE	V61.4
הפרעה משפחתית	Family disruption	פסיכו-סוציו	TRUE	V61.0
אלמנות	Widow/Widower	פסיכו-סוציו	TRUE	
יתמות	Orphancy	פסיכו-סוציו	TRUE	
שכול	"Bereavement, uncomplicated"	פסיכו-סוציו	TRUE	V62.82
תסמונת הקן המתרוקן	Empty nest syndrome	פסיכו-סוציו	TRUE	Z60.0
תגובת אבל	Grief reaction	פסיכו-סוציו	TRUE	309
עצבות	Sadness	פסיכו-סוציו	TRUE	
בדידות	Lonelyness	פסיכו-סוציו	TRUE	
הזנחה	Abuse and neglect	פסיכו-סוציו	TRUE	V71.81
הזנחת ילד	Child maltreatment syndrome	פסיכו-סוציו	TRUE	995.5
הזנחת חסר ישע	Abandonment or neglect of infants and helpless persons	פסיכו-סוציו	TRUE	E904.0
הזנחה נפשית	History of emotional abuse / neglect	פסיכו-סוציו	TRUE	V15.42
רגשות שליליים	Negative feelings	פסיכו-סוציו	TRUE	
תסמונת לב שבור	Broken heart syndrome	פסיכו-סוציו	TRUE	492.83
בעיית נסיבות חיים	Life circumstance problems	פסיכו-סוציו	TRUE	V62.89
חיי מתח	Other stressful life events affecting family and household	פסיכו-סוציו	TRUE	Z63.7
הפרעה ביפולארית	Bipolar disorder	פסיכו-סוציו	TRUE	296.8
דכאון	Depressive disorder	פסיכו-סוציו	TRUE	311
חרדה	Anxiety NOS	פסיכו-סוציו	TRUE	F41.9
הפרעות אכילה	Eating Disorders	פסיכו-סוציו	TRUE	307.5
אנורקסיה	Anorexia	פסיכו-סוציו	TRUE	307.1
בולימיה	Bulemia	פסיכו-סוציו	TRUE	307.51
סיכון אובדני	Suicidal tendendy	פסיכו-סוציו	TRUE	300.9
אינסומניה	Insomnia	פסיכו-סוציו	TRUE	307.42
אלכוהוליזם	Alcohol Abuse	פסיכו-סוציו	TRUE	305
שימוש בחשיש	Cannabis Abuse	פסיכו-סוציו	TRUE	305.2
שימוש בתרופות משככות כאב	Sedative Abuse	פסיכו-סוציו	TRUE	305.4
שימוש בהלוצינוגנים	hallucinogen Abuse	פסיכו-סוציו	TRUE	305.3
התמכרות לסמים	Drug dpendence	פסיכו-סוציו	TRUE	304
בעיה ביחסי הורה ילד	parent-child Relational Problem	פסיכו-סוציו	TRUE	V61.20
בעיית התייחסות זוגית	partner relational problem	פסיכו-סוציו	TRUE	V61.1
בעייה בהתייחסות אחאית	sibling relational problem	פסיכו-סוציו	TRUE	V61.8
אי שליטה במתן שתן	Enuresis	פסיכו-סוציו	TRUE	307.6
אי שליטה במתן צואה	Encopresis	פסיכו-סוציו	TRUE	307.7
הפרעות מסוג טיק	Tic Disorder NOS	פסיכו-סוציו	TRUE	307.2
היפוכונדריאזיס	Hypochondriasis	פסיכו-סוציו	TRUE	300.7
חולשה	Weakness	פסיכו-סוציו	TRUE	780.9
עייפות	Fatigue	פסיכו-סוציו	TRUE	780.7
הפרעות זיכרון	Memory Disturbance	פסיכו-סוציו	TRUE	310.8
פלפיטציות	Palpitations	פסיכו-סוציו	TRUE	785.1
יעוץ מצבי מתח	Stress Counseling	פסיכו-סוציו	TRUE	
התנהגות אגרסיבית	"Aggressive, dissocial or defiant behaviour"	פסיכו-סוציו	TRUE	F92
תגובה אגרסיבית	Aggressive outburst / Anger reaction	פסיכו-סוציו	TRUE	312
התנהגות אובססיבית קומפולסיבית	Obsessive Compulsive Disorder	פסיכו-סוציו	TRUE	300.3
הפרעת הסתגלות	Adjustment Disorder	פסיכו-סוציו	TRUE	309.9
סומטיזציה	Somatization	פסיכו-סוציו	TRUE	300.81
הפרעות אישיות	Personality disorder NOS	פסיכו-סוציו	TRUE	301.9
אישיות גבולית	Borderline personality disorder	פסיכו-סוציו	TRUE	301.83
התנהגות נרקיסיסטית	Narcissistic personality disorder	פסיכו-סוציו	TRUE	301.8
NULL	NULL	NULL	NULL	NULL
